epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1998.76,0.46396,0.45244,0.96239,0.96431,0.97258,0.9909,0.94596,0.29996,0.27094,0.84479,0.000405742,0.000405742,0.000405742
43,2047.27,0.45651,0.43635,0.9602,0.9758,0.98254,0.99294,0.94408,0.29482,0.25185,0.84721,0.000404029,0.000404029,0.000404029
44,2092.95,0.46052,0.43908,0.95928,0.9562,0.93269,0.98436,0.9434,0.29247,0.28578,0.84575,0.000402315,0.000402315,0.000402315
45,2138.45,0.45344,0.44874,0.95257,0.94225,0.92718,0.97295,0.92884,0.29354,0.3292,0.84484,0.000400602,0.000400602,0.000400602
46,2184.87,0.45268,0.43375,0.953,0.96917,0.96983,0.99197,0.9413,0.30548,0.26859,0.85437,0.000398888,0.000398888,0.000398888
47,2231.17,0.45478,0.4635,0.9603,0.9857,0.9741,0.99361,0.94986,0.29544,0.25479,0.84879,0.000397174,0.000397174,0.000397174
48,2277.89,0.46182,0.43752,0.96194,0.97754,0.96463,0.98908,0.94067,0.29409,0.25231,0.84201,0.000395461,0.000395461,0.000395461
49,2325.33,0.44432,0.41733,0.94981,0.98102,0.97909,0.99264,0.94363,0.30232,0.25839,0.84869,0.000393747,0.000393747,0.000393747
50,2376.8,0.44947,0.41805,0.95296,0.9678,0.97291,0.99257,0.9485,0.28513,0.25978,0.84243,0.000392034,0.000392034,0.000392034
51,2423.13,0.44077,0.4095,0.95054,0.98039,0.96926,0.99444,0.9554,0.2861,0.24299,0.83964,0.00039032,0.00039032,0.00039032
52,2468.67,0.48423,0.44623,0.98114,0.97306,0.97645,0.99297,0.94533,0.29708,0.25674,0.8477,0.000388606,0.000388606,0.000388606
53,2513.49,0.46729,0.45382,0.96506,0.98182,0.97446,0.99425,0.95356,0.28804,0.26299,0.84303,0.000386893,0.000386893,0.000386893
