epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,228.867,0.42606,0.39344,0.95077,0.98733,0.96761,0.99116,0.94643,0.28508,0.24899,0.83327,0.000398717,0.000398717,0.000398717
43,234.204,0.43992,0.40225,0.9525,0.98623,0.96113,0.98906,0.93865,0.30038,0.25388,0.84035,0.000396832,0.000396832,0.000396832
44,239.423,0.42745,0.39712,0.93966,0.98673,0.96726,0.99095,0.94272,0.29389,0.24733,0.83276,0.000394947,0.000394947,0.000394947
45,244.853,0.43073,0.39256,0.95166,0.99018,0.95996,0.98996,0.94786,0.28365,0.2395,0.83078,0.000393062,0.000393062,0.000393062
46,250.086,0.43146,0.39256,0.94347,0.97523,0.96336,0.98828,0.94422,0.28702,0.24539,0.83302,0.000391177,0.000391177,0.000391177
47,255.506,0.42564,0.40058,0.94762,0.97623,0.97154,0.98867,0.94222,0.28791,0.25428,0.83533,0.000389292,0.000389292,0.000389292
48,260.9,0.42455,0.39907,0.9446,0.9855,0.95788,0.98819,0.94989,0.2792,0.25569,0.83145,0.000387407,0.000387407,0.000387407
49,266.378,0.46686,0.4295,0.95292,0.98171,0.95293,0.98819,0.94108,0.30143,0.26638,0.85174,0.000385522,0.000385522,0.000385522
50,271.631,0.43329,0.416,0.94866,0.98643,0.96535,0.99086,0.94655,0.28581,0.24802,0.83532,0.000383637,0.000383637,0.000383637
51,276.964,0.43143,0.39434,0.94164,0.98206,0.97282,0.99091,0.94524,0.28513,0.24002,0.83313,0.000381752,0.000381752,0.000381752
52,282.322,0.42814,0.3752,0.94199,0.98298,0.96862,0.99066,0.94976,0.27759,0.23305,0.82721,0.000379867,0.000379867,0.000379867
53,287.538,0.41548,0.38671,0.93386,0.98404,0.9734,0.98921,0.95018,0.27365,0.25398,0.82971,0.000377982,0.000377982,0.000377982
54,293.013,0.41424,0.40014,0.93794,0.98594,0.9694,0.99029,0.94851,0.27263,0.22955,0.83087,0.000376097,0.000376097,0.000376097
55,298.239,0.4234,0.39581,0.94591,0.98495,0.97395,0.99192,0.95106,0.27893,0.23329,0.82571,0.000374212,0.000374212,0.000374212
56,303.797,0.42308,0.39416,0.93217,0.98339,0.97051,0.98967,0.94714,0.2831,0.2345,0.82641,0.000372327,0.000372327,0.000372327
57,309.143,0.41946,0.38457,0.94259,0.98473,0.97185,0.98974,0.95055,0.26805,0.22748,0.82301,0.000370442,0.000370442,0.000370442
58,314.492,0.42725,0.39815,0.94798,0.98383,0.96341,0.9894,0.94749,0.27605,0.23781,0.82883,0.000368557,0.000368557,0.000368557
59,319.696,0.4288,0.39769,0.9474,0.98191,0.97256,0.99206,0.94994,0.28115,0.2369,0.8335,0.000366672,0.000366672,0.000366672
